test_run | INFO flwr 2024-06-03 11:24:25,203 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:25,203 | server.py:111 | [ROUND 10]
test_run | INFO flwr 2024-06-03 11:24:25,204 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:25,632 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:25,634 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:25,666 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:25,667 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:25,667 | server.py:111 | [ROUND 11]
test_run | INFO flwr 2024-06-03 11:24:25,667 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:26,099 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:26,101 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:26,134 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:26,134 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:26,135 | server.py:111 | [ROUND 12]
test_run | INFO flwr 2024-06-03 11:24:26,135 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:26,569 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:26,571 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:26,603 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:26,603 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:26,603 | server.py:111 | [ROUND 13]
test_run | INFO flwr 2024-06-03 11:24:26,603 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:27,070 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:27,073 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:27,109 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:27,109 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:27,109 | server.py:111 | [ROUND 14]
test_run | INFO flwr 2024-06-03 11:24:27,109 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:27,555 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:27,557 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:27,599 | server.py:190 | aggregate_evaluate: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:27,599 | server.py:110 | 
test_run | INFO flwr 2024-06-03 11:24:27,599 | server.py:111 | [ROUND 15]
test_run | INFO flwr 2024-06-03 11:24:27,599 | server.py:224 | configure_fit: strategy sampled 5 clients (out of 5)
test_run | INFO flwr 2024-06-03 11:24:28,078 | server.py:238 | aggregate_fit: received 5 results and 0 failures
test_run | INFO flwr 2024-06-03 11:24:28,080 | server.py:176 | configure_evaluate: strategy sampled 5 clients (out of 5)
